Carimbo de data/hora,status de envio do email de onboarding,Qual é a sua idade? 🌐, Qual é o seu nível de escolaridade? 🎓,Em qual bairro/cidade você mora? 🏠 (por favor bote em caps lock para fins de padronização. Ex: FORTALEZA/PRAIA DE IRACEMA),"Como você se identifica em termos de raça/etnia? (por exemplo, preta, parda, branca, indígena, etc.) ✊🏽 ",Como você se identifica em termos de gênero? 🏳‍🌈,Como você se identifica em termos de orientação sexual? 💖,Você tem filhos?  👧👦 ,"Você sempre foi da área de T.I.? Se não, qual sua área original?  💻 ",Qual sua situação profissional? 💼,"Se, atualmente, você está profissionalmente ativa, poderia nos fornecer mais detalhes? 💼","Por favor, descreva um pouco sua jornada até aqui  ✍️ 🧳 ",Você programa/já programou em Python?  🐍 , Há quanto tempo você trabalha ou estuda na área de tecnologia? ⏳,"Se você não sabe programar em Python, você tem interesse em aprender? 🐍",Como você se considera seu nível na linguagem Python? 🐍,Você trabalhou com Python em qual segmento? 💻🐍,Com quais outras tecnologias você já trabalhou?  💻,Como você conheceu a comunidade PyLadies? 🌟,Você já participou de algum evento organizado pela PyLadies Fortaleza? 🌟,O que você espera da comunidade PyLadies? 🌟,Como você pode contribuir para a comunidade? 🌟,Qual dessas áreas mais te despertam interesse? 🔍,Qual tipo de evento você mais gosta de participar? 🤝,Você se sente confortável para ministrar palestras/cursos/etc? 🤝,Sobre quais assuntos você poderia ministrar palestras/cursos/etc? 🔍,O que poderia ter na comunidade para despertar seu interesse em interagir/participar mais? 🌟,Você gostaria de participar de um programa de mentoria na comunidade PyLadies Fortaleza? 🌟,"Você fez/faz parte de alguma outra comunidade? Se sim, qual? 🔍",Você tem experiência com organização de eventos?  🔍,"Além de tecnologia, quais outros interesses você cultiva?  🎨 ","Você aceita que a PyLadies Fortaleza colete, trate e armazene seus dados fornecidos neste formulário?",Data de aniversário dd/mm - para fins fofinhos da Squad de RH  🎂 ,Formato Data (Ignorar Ano),Você autoriza a postagem comemorativa de aniversário? 👤 ,"Qual é a sua profissão atual ou área de atuação? 💼 (Exemplo: Engenheira de Software, Cientista de Dados, Engenheira de Dados, QA, UX..)",Qual é a sua faixa de renda mensal? 💰,"Se sim, há quanto tempo programa/programou em Python? 🐍",Com que frequência você participa de eventos da PyLadies? 📅, Quais são os principais desafios que você enfrenta como mulher na área de tecnologia? 🚧,Que tipo de apoio ou recursos você gostaria de ver mais na comunidade? 🤲,Você prefere trabalhar em projetos individuais ou em equipe? Por quê? 👩‍💻,"Precisa da sua autorização para guardar suas informações do formulário! 📝 Usaremos só para entender melhor vocês e planejar eventos incríveis! ✨ Promessa: seus dados ficam seguros conosco, sem compartilhamento! 🤫
Você aceita? 👍","Nos próximos eventos, tiraremos muitas fotos incríveis! 📸  Queremos compartilhar a energia boa com todos! ✨ Usaremos algumas fotos com você em posts, convites e divulgação. 😉 Você autoriza a PyLadies Fortaleza a usar sua imagem? 👍",email_hash,nome_hash,contato_hash
2025-01-15 05:21:01,Enviado,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/LUCIANO CAVALCANTE ,Branca,Cisgênera,Heterossexual,Não,Sim,Não trabalho e estou buscando um emprego/estágio,Não se aplica,"Sou estudante de Engenharia de Computação e tenho 23 anos. Minha jornada na tecnologia começou em 2020 ao entrar na UFC. Inicialmente os dois primeiros anos foram de incertezas a respeito da continuidade no curso, contudo o que me fez mudar de ideia é encontrar perspectiva foi a minha jornada na Empresa Júnior. Foi na EJ que tive contato com Front End, uma das áreas que me interesso bastante, e também foi nesse período que me interessei por dados e atualmente é a área principal que quero seguir como carreira.",Sim,2 a 4 anos,Não se aplica,Júnior,"Análise/Visualização de Dados, Trabalhos de disciplinas da faculdade ","HTML, CSS, JAVASCRIPT, C, FIGMA,","Redes Sociais (Instagram, Facebook e etc)",Não,APRENDER TER NOVAS EXPERIENCIAS E CONHECER PESSOAS NOVAS,,"Análise/Visualização de Dados, Data Science, Desenvolvimento Web, Machine Learning, Segurança, Testes","Atividades lúdicas e recreativas, Workshops, Palestras","Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Banco de dados,Talvez encontros semanais ou quinzenais,"Sim, como mentora e mentorada",Nao ,Sim,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais)",,02/08/2001,,Sim,Engenharia de Computação ,Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,1 evento por ano,PROVAVELMENTE ME ENTURMAR NUMA EQUIPE MAJORITARIAMENTE MASCULINA,,Equipe. Eu gosto de debater sobre o projeto e conhecer pessoas durante esses trabalhos.,"Sim, autorizo!","Sim, autorizo!",71094cc26590886343c645a4cc071cf5121bd95ac6b907ccf3757ac53607ed98,7cd27755fad1e70f86eeb5d4b0702f8f642dd934866847fd366f64472ed911db,b3b1e03957ab421ccbdacf17b75158742ba6a4ab88203a0ea8bc615b8ffbb9f2
2024-12-19 14:44:10,Enviado,Entre 31 e 40 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,Benfica ,Branca,Cisgênera,Lésbica,Não,"Não, fiz migração da Engenharia de Alimentos através de um programa trainee",Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Me formei em engenharia de Alimentos e trabalhei por bastante tempo em chão de fábrica. Depois de formada, entendi que precisava de uma área que me permitisse fluir por diferentes contextos, de uma forma multidisciplinar, então, pesquisei e decidi ir pra área de dados. Comecei meu processo de transição de carreira com um bootcamp na XP educação e no mesmo período fui aprovada em um programa trainee, então fui alocada na área de dados. De início minha atuação era como analista de dados e atualmente sou cientista de dados, mas também já tive uma breve experiência como engenheira de dados. Domino linguagens com SQL e python e estou bastante habituada com a stack do Google Cloud. Já usei ferramentas como o airflow, Tableau, Looker, Metabase, Power Bi, etc. ",Sim,2 a 4 anos,Sim,Pleno,"Análise/Visualização de Dados, Data Science, Machine Learning",SQL,"Redes Sociais (Instagram, Facebook e etc)","Sim, como participante",APOIO TECNICO E UMA COMUNIDADE FEMININA FORTE,EVENTOS E PARTICIPACAO ATIVA NO GRUPO,"Análise/Visualização de Dados, Big Data, Data Science, IoT, Machine Learning, Web scrapping","Atividades lúdicas e recreativas, Workshops",Não,,,"Sim, como mentora",não ,Sim,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",Sim,24/02,44981,Sim,Cientista de Dados ,Acima de 7 salários míninos ( >= 9.884 ),2 a 4 anos,Entre 1 a 3 eventos por ano,,,,"Sim, autorizo!","Sim, autorizo!",b1532cb5f8bcbffe0b2db7b51c866056aedd903eab5c4a933f231739bcce8449,1de886cf3a57b001745dc342d0e67a2a64999fe9ea88446bcd5bb4b6d0035535,043d854ac7a463a441fca7f5b233e8737a02c8d6ffd980c368eaff05059026ac
2025-03-06 09:35:09,Enviado,Entre 31 e 40 anos,Graduação - cursando,MONTESE/FORTALEZA,Branca,Cisgênera,Heterossexual,Sim e sou a única responsável por eles,Comercial,Não trabalho e estou buscando um emprego/estágio,Não se aplica,"Estou realizando uma transição de carreira. Tenho mais de 12 anos de experiência na área comercial, o que me proporcionou várias softskills. Apoiada pelo meu marido, estou me dedicando exclusivamente ao estudo de tecnologias para encontrar o que mais me identifico. Gosto muito da área de dados, influenciada pela minha formação em curso, Business Intelligence, e um curso do Santander de Python. Na pergunta acima se eu já programo em Python, respondi não, pois estou aprendendo o sistema mais gosto bastante. Outra área que me identifico é backend, e estou aprendendo mais sobre API e Banco de dados. Hoje tenho disponibilidade total de horários para estudo e inclusive estágios não remunerados, pois meu foco é aprender e adquirir experiência. ",Não,menos de 1 ano,Sim,Não sei definir,Não se aplica,Estou fazendo um curso de formação em Full Stack,Indicação de amiga(o),Não,MODELAR PROFISSIONAIS QUE TIVERAM SUCESSO NESSA TRAJETORIA DE TRANSICAO DE CARREIRA E CONHECER PESSOAS QUE ATUAM NAS MINHAS AREAS DE INTERESSE SOU MUITO COLABORATIVA E TAMBEM PRETENDO AJUDAR A CRESCER A COMUNIDADE E PARTICIPAR ATIVAMENTE DOS EVENTOS,AJUDAR NA ORGANIZACAO DE EVENTOS TRABALHAR NA INCLUSAO E ACESSIBILIDADE COMPARTILHAR CONHECIMENTOS EM RELACAO A COMUNICACAO E ORATORIA CONTRIBUINDO PARA A PREPARACAO DE PALESTRANTES E EM REUNIOES DE RESULTADOS,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Sim,"Sobre comunicação assertiva, SoftSkills e desenvolvimento pessoal. ","Formações, workshops, encontros para atividade física e saúde da mulher. ","Sim, como mentorada",Não. ,Sim,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais)",,31/07,,Não,,Menos de 1 salário mínino ( < 1.412),Não se aplica,1 evento por ano,ADQUIRIR EXPERIENCIA E CONCORRER A VAGAS QUE NAO SAO EXCLUSIVAS PARA MULHERES,,"Os dois. Gosto de trabalhar em equipe quando bem formada e com pessoas que já tem experiência. E gosto de aplicar os meus conhecimentos em projetos individuais também, acredito que assim consigo desenvolver melhor. Hoje no curso de Full Stack que faço, temos uma atividade proposta para criar um projeto onde eu faço em equipe com outros 3 colegas e faço um projeto individual. ","Sim, autorizo!","Sim, autorizo!",966a625da1fb43cab7cbb9c7eac545004b130a70986115a7a09f2462badea95e,073bd728495ee23a6719453f5b45429e4739738f917985b9fcf8eddd51e95308,b3b3b68e2c242d6ba62e373d6ec1429334ca67bdf5d978321d5ed4ed93e2b70a
2025-01-22 18:42:35,Enviado,Entre 31 e 40 anos,Graduação - cursando,FORTALEZA BOA VISTA ,Parda,Cisgênera,Bissexual,"Sim, mas não sou a responsável por eles",Não sou da área mas estou cursando ads,Bolsista de instituição acadêmica,Não quero mudar de emprego/estágio/etc.,,Não,1 ano a 2 anos,Sim,Não se aplica,Não se aplica,,Indicação de amiga(o),Não,CONHECER MAIS O MUNDO DA TI,CONHECENDO O MUNDO,Segurança,Nunca  participei,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Nunca participei desse tipo de apresentação ,Bons materiais ,Talvez,Não ,Não,"🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,03/07/,,Não,"Nenhum dos que eattaoo aí ,sou coatureira ",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,,AINDA HA PRECONCEITO,CONHECER SOBRE AS LINGUAGENS DE UMA FORMA MAIS SIMPLES,Equipe .pq juntos pensamos melhor ,"Sim, autorizo!","Sim, autorizo!",9805c54fb72fe54dcbb24f4e2fa8630fa34c7f253604bba9b0922dc4d680d732,bb17bf4fb09fe00e9486c2fd60697d4d23bd3942aa0a428164a9b2f421adaa8f,3d4ff206eff568695027ff6c5a0ffac064263e81e76312ac1b65a2cadf69d43d
2025-01-22 19:12:14,Enviado,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,CAMBEBA,Parda,Cisgênera,"Bissexual, Pansexual",Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Minha graduação foi um período muito difícil, pois enfrentei inúmeros desafios relacionados ao aprendizado de lógica de programação, saúde mental e problemas financeiros. Então demorei um pouco mais pra concluir a graduação. Após isso, consegui me inserir rapidamente no mercado de trabalho e sempre fui muito disposta a aprender novas tecnologias. Estou trilhando um caminho de crescimento profissional e me consolidando como desenvolvedora back-end.",Não,Mais de 4 anos,Sim,Não se aplica,Não se aplica,Java e Javascript (node.js),"Redes Sociais (Instagram, Facebook e etc)",Não,APRENDER UM POUCO DE PYTHON E PODER INTERAGIR E PARTICIPAR DE UMA COMUNIDADE TECH DE MULHERES,,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning, Testes","Atividades lúdicas e recreativas, Workshops",Não,,"Encontros ou eventos em locais mais acessíveis, que não fosse apenas na região nobre da cidade.","Sim, como mentorada",Não,Não,"🎨 (arte, representando interesses criativos), 🎶 (música, para interesses musicais), 🧘‍♀️ (bem-estar, para práticas como yoga)",,05/08/1997,,Sim,Desenvolvedora back-end,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,Entre 1 a 3 eventos por ano,PROBLEMAS RELACIONADOS A DISPARIDADE DE GENERO NA NOSSA AREA AMBIENTES MAJORITARIAMENTE MASCULINOS ONDE SUPERIORESCOLEGAS SUBESTIMARAM MEUS CONHECIMENTOS ASSEDIO MORAL E IMPORTUNACAO,WORKSHOPS DE OUTRAS STACKS ALEM DO PYTHON,"Em equipe. Acredito que, dessa forma, os projetos são finalizados com mais qualidade, pois as chances de que erros passem para as etapas finais do projeto são menores. Além disso, um ambiente colaborativo é ótimo para o desenvolvimento dos profissionais e dos projetos.","Sim, autorizo!","Sim, autorizo!",f13eae5c0f102c6a3ff1fe4312494c14bfa514b137e2c93b168b0f4632fe1e14,118509f12e8608622a8bcd2b903de42a8d3b0507883538819f6d964aa9369835,c30a9aeed5bf35f0ad7aab1484141e04751d27b9d1d1ed53b2488375517d6130
2025-02-21 20:11:14,Enviado,Entre 25 e 30 anos,Graduação - cursando,"Caucaia, Icaraí ",Parda,Cisgênera,Heterossexual,Não,Administrativo ,Não trabalho e estou buscando um emprego/estágio,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Estou em transição de carreira a pouco mais de um ano estudando tecnologia, cursando o 2° semestre em Engenharia de Software e em busca de uma oportunidade nesta área. E aos poucos me descobrindo e encontrando o meu lugar onde realmente os meus olhos vão brilhar, no entanto eu gosto um pouco de tudo. ",Não,1 ano a 2 anos,Sim,Júnior,Não se aplica,"JS, React",Evento,Não,AMPLIAR CONEXOES TROCAR EXPERIENCIAS,ENSINAR CONFORME A MINHA BAGAGEM DE CONHECIMENTO,"Análise/Visualização de Dados, Data Science, Desenvolvimento Web, Segurança","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais",Talvez,Não sei ainda,Eventos com recrutadores,"Sim, como mentora e mentorada",FrontEndCe,Sim,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🍳 (culinária, para quem gosta de cozinhar), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga)",,14/08/1999,,Sim,Engenharia de software ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,Entre 1 a 3 eventos por ano,CONCILIAR ROTINA DE TRABALHO ESTUDO E CASA,EVENTOS COM RECRUTADORES,"Equipe, porque estou em processo de aprendizagem, e quero sempre estar com pessoas que são mais experientes que eu .","Sim, autorizo!","Sim, autorizo!",4672db40ab7701e580a221cb0ba93ae63bc6ded1b63a07f2a5c4ccfe13a75ae3,86d61a761ec4f4f22d9425ba8b02f773c5c362d013a6d1040d98de130708695a,1491eeb6eb7165260ae5695088edab612a9a5d5a6fa7d55ef314d8164c201db9
2024-12-20 10:55:40,Enviado,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/Monte Castelo,Parda,Cisgênera,Heterossexual,Não,"Não, sou formada em letras . ",Funcionária de empresa privada (CLT/PJ),Estou buscando ativamente novo emprego/estágio/etc.,"Estou em transição de carreira, tentando encontrar uma colocação na área de tecnologia. Trabalho como analista de ouvidoria, sou formada em letras e estou cursando engenharia de software Ead. Vou mudar para ADS por conta do valor e do
Tempo para formação.",Não,1 ano a 2 anos,Sim,Júnior,Não se aplica,Ainda nenhuma,"Redes Sociais (Instagram, Facebook e etc)","Sim, como participante",UM LUGAR QUE EU CONSIGA SER EU MESMA E POSSA ENCONTRAR MULHERES COMO EU QUE ACREDITAM QUE NOSSO LUGAR E ONDE QUISERMOS,TENHO INTERESSE EM APRENDER A FAZER SITE E AJUDAR NO SITE DAS PYLADIES POSSO AJUDAR NOS EVENTOS QUE FOREM FINAL DE SEMANA,"Análise/Visualização de Dados, Segurança, Testes","Workshops, Palestras, Tutoriais",Talvez,"Por hora não tenho nenhuma palestra montada. Mas acredito que algo sobre lógica de programação, conceitos básicos . Falar da experiência da transição de carreira.",,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos), 📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🧘‍♀️ (bem-estar, para práticas como yoga)",,18/10,,Sim,"Ainda não defini bem, mas tenho interesse em Q.A / engenharia de cloud e front .",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,1 evento por ano,ATE AGORA NAO TIVE UM CONTATO DIRETO COM A BARREIRA NA AREA EM ESPECIFICO MAS SABEMOS O QUANTO MACHISMO ESTA EM TODO LUGAR,MENTORIA PARA APRENDER O BASICO DE UMA AREA POR EXEMPLO COMO SE TORNAR UMA QA,"Equipe, pois como
Tenho pouco conhecimento técnico, a equipe me ajuda com
O
Conhecimento dela. ","Sim, autorizo!","Sim, autorizo!",8bc6dcc6e0e01557a3add01b480221b96d1a54c5edf53693133d0de1d4c0f71e,710843d1dd7af8bc828ab4e7ee7e0ac725a2c70239bc08fcedfc9605310967e7,d0dc593ffa48f4681eec01b8e83d24d280fdf775a6084a00c4c3b78ed0faaa9a
2024-12-19 20:16:29,Enviado,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/Benfica,Preta,Cisgênera,Bissexual,Não,Não. Cinema e Publicidade,Não trabalho e estou buscando um emprego/estágio,,Sou formada em Publicidade e Propaganda e também em Cinema e Audiovisual. Tenho experiência nas duas áreas com Comunicação Interna e Assistente de Produção. Atualmente estou fazendo faculdade de Sistemas de Informação e em busca de oportunidade na área de Análise de Dados.,Sim,2 a 4 anos,Sim,Júnior,Não se aplica,,Evento,"Sim, como participante",OPORTUNIDADE DE CONEXOES,AJUDAR AS PESSOAS A NAO DESISTIREM DE TENTAR ENCONTRAR SEU LUGAR,"Análise/Visualização de Dados, Big Data, Data Science, Machine Learning","Workshops, Palestras",Talvez,,,Talvez,Não.,Não,"🎨 (arte, representando interesses criativos), ⚽ (futebol, representando interesses esportivos), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo)",,27/09,,Sim,,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,1 evento por ano,DESACREDITADA POR SER MULHER,,Equipe. ,"Sim, autorizo!","Sim, autorizo!",2b4d180ef7ed91ab25dcecbd5701a28af6423658df1a02189cd3f217bba4196d,0ba817d8ac8ecbd8a923d0c507296cf02aba2575b43d5c33ae3ad2f11ffa746f,7007d36514015b8562afb44713263e97a0aaf37c4085312a40e80ee2633374a7
2025-09-05 00:20:35,Enviado,Entre 18 e 24 anos,Graduação - concluído,Fortaleza/canidezinho,Parda,Cisgênera,Heterossexual,Não,"Sim, fullstack e cybersegurança",Freelancer,Estou buscando ativamente novo emprego/estágio/etc.,"Sou tecnica informatica, graduada em Ads, e cursos de segurança da informaçao, trabalho de freelancer como fullstack e segurança, mas sempre busco mais conhecimento aprofundado nessa e em outras areas,  porque amo tecnologia .",Não,Mais de 4 anos,Sim,Júnior,Não se aplica,"Php, javascript","Redes Sociais (Instagram, Facebook e etc), Indicação de amiga(o)","Sim, como participante",ESPERO APRENDER E COMPARTILHAR CONHECIMENTO,COM O MEU CONHECIMENTO EM SEGURANCA DA INFORMACAO,"Análise/Visualização de Dados, Big Data, Data Science, Desenvolvimento Web, IoT, Jogos, Machine Learning, Segurança, Testes","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais","Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Segurança da informaçao,Ter mais palestras e ensinamento de phyton avançado,"Sim, como mentora e mentorada",Nao,Não,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🌍 (viagens, para interesses em explorar o mundo), 🧘‍♀️ (bem-estar, para práticas como yoga), 🎮 (jogos, para quem curte videogames)",,19/06/2001,,Sim,Fullstack e cybersegurança,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Não se aplica,"Todos, não falto um, fã de carteirinha PYLADIES TE AMO",O PRECONCEITO DE ELES GRANDE MAIORIA DOS HOMENS NA MAIORIA ACHAR Q ESTAMOS NA AREA SO POR DINHEIRO E ACHAREM QUE A GENTE SABE MENOS Q ELES,MAS EVENTOS DE PALESTRAS,"Tanto faz, gosto muito de trabalhar em equipe tambem","Sim, autorizo!","Sim, autorizo!",639bf08aed3c3287f312399401c23081487677147251153675d790b1d72a743a,52526f1cd19f54c795044ee24ffbb16fc4346d84f3d24e1344625aafbae43b57,e04ceb6efd3abf19aec8f5939afeefa8e73db1f2f450bb4a8d378cf49426fd5e
2025-08-01 08:55:13,Enviado,Entre 25 e 30 anos,Graduação - cursando,FORTALEZA/PARQUE GENIBAÚ,Parda,Cisgênera,Heterossexual,Não,"Sim, mas já trabalhei com telemarketing.","Não trabalho, mas não estou buscando um emprego/estágio",Estou buscando ativamente novo emprego/estágio/etc.,"No momento, estou tentando me especializar, focar mais em algo específico (desenvolvimento back end), mas já trabalhei com IA/ciência de dados em laboratórios do ifce, desenvolvimento mobile com flutter também dentro do ifce. sou formada em telecomunicações, nível técnico, também ifce. tenho dificuldade com comunicação inicial (pra arranjar emprego etc. n sei se meu currículo está errado ou outra coisa), mas tenho experiência com trabalho em equipe, metas etc. com alguns anos de telemarketing.",Sim,Mais de 4 anos,Não se aplica,Não sei definir,"Análise/Visualização de Dados, Data Science, Machine Learning","flutter/dart, react","Redes Sociais (Instagram, Facebook e etc), Indicação de amiga(o)","Sim, como participante",ESPERO PODER CRIAR UM BOM NETWORKING AJUDAR E SER AJUDADA NA MINHA TRILHA,EU QUERIA MUITO PALESTRAR MAS AINDA NAO ME SINTO SEGURA GOSTARIA TAMBEM DE MENTORAR,"Data Science, Desenvolvimento Web, Machine Learning","Atividades lúdicas e recreativas, Workshops, Palestras, Tutoriais","no momento, não me sinto segura, mas queria MUITO.","IA, DS e um pouco de desenvolvimento.","acho que a comunidade já é bem completa nesse quesito, minha questão é mais disponobilidade mesmo.","Sim, como mentora e mentorada",PUG-CE,Não,"📚 (livros, representando interesses em leitura), 🎶 (música, para interesses musicais), 🧘‍♀️ (bem-estar, para práticas como yoga)",Sim,19/06,19/06/2023,Sim,Desenvolvimento back end | ciência de dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,1 evento por ano,ME POSICIONAR FICO COM MEDO PE ATRAS,QUESTAO DE CURRICULO APRESENTACAO PESSOAL ENTREVISTAS,"em equipe, pois nas empresas trabalhamos em equipes, então é muito mais familiar e já se acostuma, além das trocas de experiência/conhecimento com as meninas","Sim, autorizo!","Sim, autorizo!",832758049f56368f76f8edbe9f9282cbc2d0e2b6b9150b920ac4750d7105c2b5,344a62b78eaca3276a9b2974b338ece79c4fc59788bd9e986bdea8a5c87e4900,92ed497352846809c41f721bf98f415f33c64827ad0b7f46266301ba3f556bd2
